question,answer,university
সাস্টে রিএডমিট হওয়ার প্রসেস কিরকম?,তুমি যেই ডিপার্টমেন্টে ভর্তি হয়েছো সেই ডিপার্টমেন্টের সবগুলো সিট পূরণ হয়ে যাওয়ার দুই সপ্তাহের মধ্যে রেজিস্টার বরাবর একটা অ্যাপ্লিকেশন লিখতে হবে। এরপর তুমি যেই স্যারের ক্লাসে এটলিস্ট ২৫% উপস্থিত থেকেছো সেই স্যারের কাছ থেকে রেকোমেন্ডেশন নিতে হবে। সাথে ডিপার্টমেন্ট হেডেরও ফরওয়ার্ডেড সিগনেচার নিতে হবে। এরপর অ্যাপ্লিকেশনটা রেজিস্টার অফিসে সাবমিট করতে হবে। রেজিস্টার অফিস একটা ডেট দিবে। সেই ডেটের মধ্যেই ভর্তির টাকা জমা দিতে হবে। ব্যাস! কাজ শেষ।,SUST
সাস্টের মাইগ্রেশন কবে থেকে?,অরিয়েন্টেশন পরে।,SUST
সাস্টে ভর্তির জন্য প্রয়োজনীয় জিনিসপত্র কি কি লাগবে?,"ভর্তির জন্য প্রয়োজনীয় জিনিসপত্র-
১. ভর্তি পরীক্ষার সময়কার সিগনেচার করা এডমিট কার্ড।
২. এসএসসি বা সমমান ও এইচএসসি বা সমমান পরীক্ষার মূল মার্কশীট এবং সার্টিফিকেট।
৩. প্রয়োজনীয় টাকা।
৪. কোটায় ভর্তিচ্ছুদের কোটা সম্পর্কিত যথাযথ সনদপত্রের মূল কপি।
৫. প্রতিটি সনদপত্র ও নম্বরপত্রের ২টি সত্যায়িত ফটোকপি।",SUST
সাস্টে মেরিট কত পর্যন্ত ডাকা হয়েছে? এবং কয় তারিখ?,"ভর্তির সময় এবং তারিখ, কত থেকে কত মেরিট পজিশন পর্যন্ত ডাকা হয়েছে ইত্যাদি তথ্য সাস্টের ওয়েবসাইটে পাওয়া যাচ্ছে।",SUST
সাস্টে ওয়েটিং কবে থেকে এবং কত পর্যন্ত ডাকা হতে পারে?,মেরিট পজিশনের ভর্তি শেষ হওয়ার পর থেকেই আসন খালি থাকা সাপেক্ষে ওয়েটিং থেকে ডাকা হবে। বিস্তারিত তথ্যের জন্য ভিজিট করুন,SUST
সাস্টে ভর্তির দিনই কি ভাইবা? এবং ভাইবার জন্য কি প্রিপারেশন নিতে হবে?,"ভর্তি এবং ভাইভা একই দিনে হবে। ভাইভার জন্য আলাদা কোন প্রিপারেশন নেওয়া লাগবে না। ভাইভাতে তেমন কিছু জিজ্ঞেস করা হয় না। এইতো নাম, ঠিকানা, কী সাবজেক্ট নিবা এইসব তথ্যই জিজ্ঞেস করা হয়।",SUST
সাস্টে ভাইবার জন্যে কি কি ড্রেস পরে আসতে হবে?,ভাইভার জন্য আলাদা কোন ড্রেস কোডও মানা লাগবে না। কোন ধরণের ফরমাল ড্রেস পরে আসতে হবে না।,SUST
সাস্টে সাব্জেক্ট/সাবজেক্ট চয়েজ কিভাবে দিতে হবে?,"অন্যান্য বিশ্ববিদ্যালয়ের মত সাস্টে ভর্তির জন্য নির্ধারিত তারিখের পূর্বে কোন ধরণের সাবজেক্ট চয়েজ দেওয়া লাগেনা। একইদিনে সাবজেক্ট চয়েজ, একইদিনে ভর্তি। মেরিট পজিশন আর সিট খালি থাকা সাপেক্ষে নিজের ইচ্ছামত যেকোনো বিভাগে ভর্তি হওয়া যাবে। শুধুমাত্র মানবিক ও ব্যবসায় শিক্ষার ছাত্রছাত্রীরা অর্থনীতি বিভাগে ভর্তি হতে চাইলে ভর্তি পরীক্ষায় তাদেরকে অবশ্যই গণিতে কমপক্ষে ৪ মার্কস পাওয়া লাগবে। ইংরেজি বিভাগে ভর্তি হতে চাইলে এ ইউনিটের পরীক্ষায় অংশগ্রহণ করা সকল ব্যাকগ্রাউন্ডের ছাত্রছাত্রীদেরই ভর্তি পরীক্ষায় ইংরেজিতে কমপক্ষে ৮ মার্কস পাওয়া লাগবে। ভিজিট ",SUST
SUST/সাস্টে dept/ডিপ্ট গুলোতে এর CGPA কেমন থাকে? Average CGPA কেমন?,এইটা একেক ইয়ার একেক ডিপ্ট এ একেক রকম হয়। তবে এভারেজ ৩.৩+ থাকে।,SUST
সাস্টের সীট প্লান কিভাবে দেখব?,মোবাইলে ম্যাসেজ যাবে অথবা ওয়েবসাইটে চেক করতে পারো। ভিজিট http://admission.sust.edu,SUST
এ এবং বি ইউনিট এর পরীক্ষা কি একই দিনে হয় সাস্টে?,হুম।,SUST
সাস্টের পরীক্ষা কেন্দ্রে কি কি নেওয়া যাবে?,"পরীক্ষা কেন্দ্রে অবশ্যই দুই কপি এডমিট কার্ড সঙ্গে করে নিয়ে আসতে হবে। রঙিন এডমিট কার্ড হলে ভালো। তবে সাদা-কালো হলেও কোন সমস্যা হবে না। এডমিট কার্ড ছাড়াও ক্যালকুলেটর আর বলপয়েন্ট কলম আনতে ভুল করো না।আর্কিটেকচারে যারা পরীক্ষা দিবা, তারা অবশ্যই ড্রয়িং রিলেটেড জিনিসপত্র সাথে নিয়ে আসবা।",SUST
সাস্টে পরীক্ষা কেন্দ্রে কি কি ঘড়ির ব্যাবস্থা থাকবে?,সবগুলো পরীক্ষা কেন্দ্রে ঘড়ির ব্যবস্থা থাকে না। সাধারণ মানের কেসিও ঘড়ি সঙ্গে করে আনতে পারো। যারা এখনো এডমিট কার্ডে সাইন করো নি। তারা ঝটপট এডমিট কার্ডে সাইন করে ফেলো।,SUST
SUST/সাস্ট এ আর্কিটেকচার এর এক্সামে কেমন ধরনের ড্রইং আসে? মনে কি আঁকতে বলা হয়?,"ফ্রি হ্যান্ড ড্রয়িং এ 2D composition, 1 or 2 point perspective, figure drawing, poster/book cover design এ টাইপ ড্রয়িং আসে",SUST
সিলেটে সাস্টের পরীক্ষা/এক্সাম এর পূরবে/আগে থাকার ব্যাবস্থা কি?,"কদমতলী, বন্দর, আম্বরখানাসহ সিলেটের একাধিক জায়গায় হোটেল আছে। পরীক্ষার আগের রাত কাটানো নিয়ে তেমন কোন টেনশন না করলেও চলবে। সাস্টিয়ানরা মারাত্মক রকমের হেল্পফুল। সিলেটে আসার পূর্বে সাস্টের কাউকে নক দিলেই চলবে। উনারা তোমাদেরকে হল, মেস সহ বিভিন্ন জায়গায় রাত কাটানোর ব্যবস্থা করে দেবেন।",SUST
সাস্টে কি সব সাব্জেক্ট/সাবজেক্ট এ আলাদা আলাদা পাস মার্ক আছে?,সাস্টে আলাদা পাশ মার্ক নাই। সবমিলিয়ে ১০০ তে ৪০% মার্কস ক্যারি করতে পারলেই মেরিট লিস্টে নাম তুলতে পারবা। মেরিট লিস্টে নাম উঠলেই যে চান্স হয়ে যাবে এরকম কোন কথা নাই।,SUST
সাস্টে কয়টা দাগালে মোটামুটি চান্স নিশ্চিত?,ভুলভাল না দাগিয়ে ঠিকঠাক মত ৪৫-৫০ টা দাগাতেই পারলেই মোটামোটি চান্স নিশ্চিত হয়ে যায়। তবে প্রশ্ন অতিরিক্ত সহজ হয়ে গেলে এই থিওরী কোন কাজে আসবে না। সাস্টের প্রশ্ন অবশ্য মোটামোটি কঠিনই হয় প্রত্যেকবছর।,SUST
সাস্টে আলাদা আলাদা ডিপ্টে ভর্তি হতে চাইলে কি আলাদা রিকোয়ারমেন্ট লাগে?,অর্থনীতি বিভাগে ভর্তি হতে চাইলে A ইউনিটের পরীক্ষায় গণিতে নূন্যতম ৪ মার্কস পাওয়া লাগবে। আর ইংরেজি বিভাগে ভর্তি হতে চাইলে পরীক্ষায় ইংরেজীতে কমপক্ষে ৮ মার্কস পাওয়া লাগবে। এছাড়া A বা B ইউনিটে আর তেমন কোন উল্লেখযোগ্য শর্ত নাই। মেরিট পজিশন ভালো হলে ইচ্ছেমত সাবজেক্ট চয়েস করা যাবে।,SUST
সাস্টে অর্থনীতি বিভাগে ভর্তি হতে চাইলে নূন্যতম কত মার্কস পেতে হবে?,অর্থনীতি বিভাগে ভর্তি হতে চাইলে A ইউনিটের পরীক্ষায় গণিতে নূন্যতম ৪ মার্কস পাওয়া লাগবে।,SUST
সাস্টে ইংরেজী/ইংরেজি বিভাগে ভর্তি হতে চাইলে নূন্যতম কত মার্কস পেতে হবে?,ইংরেজি বিভাগে ভর্তি হতে চাইলে পরীক্ষায় ইংরেজীতে কমপক্ষে ৮ মার্কস পাওয়া লাগবে।,SUST
সাস্টে বিবিএ বিভাগে ভর্তি হতে চাইলে নূন্যতম কত মার্কস পেতে হবে?,বিবিএতে চান্স পেতে হলে ম্যাথে বা অন্য কোন সাবজেক্টে আলাদা কোন কন্ডিশন ফিলাপ করা লাগবে না। মেরিট লিস্টে প্রথম দিকে থাকলেই চলবে।,SUST
সাস্টে A/এ ইউনিটে ম্যাথ/বায়োলজির মধ্যে বিজ্ঞান বিভাগের ছাত্রছাত্রীরা কি আন্সার করবে?,A ইউনিটে ম্যাথ/বায়োলজির মধ্যে বিজ্ঞান বিভাগের ছাত্রছাত্রীরা তাদের ইচ্ছামত প্রশ্নের উত্তর করতে পারবে। ম্যাথ আন্সার না করলে মোটেই প্রবলেম হবে না।,SUST
সাস্টের আর্কিটেকচার এর সাধারণ জ্ঞান এর প্রশ্নে কি আসে?,"আর্কিটেকচারের সাধারন জ্ঞানের প্রশ্নে সাধারনত সাম্প্রতিক ঘটনাবলি, শিল্প, সাহিত্য, চারু ও কারু, বিভিন্ন স্থাপনা এগুলো নিয়ে প্রশ্ন।",SUST
সাস্টের আর্কিটেকচার এর ড্রয়িং এর প্রশ্নে কি আসে?,"ফ্রি হ্যান্ড ড্রয়িং এ 2D composition, 1 or 2 point perspective, figure drawing, poster/book cover design এ টাইপ ড্রয়িং আসে",SUST
সাস্টের সক্রিয় লিংক টি দিয়ে সিনিয়র রা সাহায্য করুন?,http://admission.sust.edu,SUST
ঢাকা এয়ারপোর্ট রেলস্টেশন টু সিলেট। কত সময় লাগে পৌছতে?,মেক্সিমাম ৭/৮ ঘন্টা লাগবে।,SUST
সাস্টের বিভাগসমূহে আসন সংখ্যা কত?,ভিজিট http://admission.sust.edu এবং প্রস্পেকটাস চেক করুন।,SUST
সাস্টে বিবিএ পেতে ম্যাথে কি কোন কন্ডিশন ফুল করতে হয়?,বিবিএতে চান্স পেতে হলে ম্যাথে বা অন্য কোন সাবজেক্টে আলাদা কোন কন্ডিশন ফিলাপ করা লাগবে না। মেরিট লিস্টে প্রথম দিকে থাকলেই চলবে।,SUST
সাস্টে এপ্লাই করতে গিয়ে এস.এস.সির রোল ভুল করে ফেলছে বাকি সব ঠিক আছে।সাবমিট হয়ে গেসে।টাকা পেই করে নাই।দোকানদার বলসে আর এপ্লাই করা যাবে না।এখন এটার সমাধান কিভাবে করা যাবে কাইন্ডলি একটু বলেন,সাস্ট হেল্পলাইনে কল করো অথবা ইমেইল করো।,SUST
আমার গণিতে বি গ্রেড আমি কি সাস্টে বি ইউনিটে পরিক্ষা দিতে পারবো..?,চোখ রাখুন https://www.admissionwar.com/ এবং সার্চ করুন সাস্ট অথবা চেক করুন  http://admission.sust.edu গিয়ে এডমিশন সেকশনে সার্চ করুন,SUST
সাস্টে A/এ ইউনিটে ফিজিক্স রসায়ন বাইলোজি/ম্যাথে কি আলাদা আলাদা পাশ করতে হবে?,সাস্টে আলাদা পাশ মার্ক নাই। সবমিলিয়ে ১০০ তে ৪০% মার্কস ক্যারি করতে পারলেই মেরিট লিস্টে নাম তুলতে পারবা। মেরিট লিস্টে নাম উঠলেই যে চান্স হয়ে যাবে এরকম কোন কথা নাই।,SUST
"গতবারের সাস্টের ভর্তি পরীক্ষায় লাস্ট কত পজিশন পর্যন্ত Genetic Engineering/জেনেটিক্স ইঞ্জিনিয়ারিং পেয়েছিলো,কেউ জানলে একটু জানান।",চোখ রাখুন https://www.admissionwar.com/ এবং সার্চ করুন সাস্ট অথবা চেক করুন  http://admission.sust.edu গিয়ে এডমিশন সেকশনে সার্চ করুন,SUST
আমি গত বছরে সাস্টে এডমিশন টেস্ট দিয়েছিলাম।চান্স হয় নাই।এবছরে আমি ইমপ্রুভমেন্ট এক্সাম দিয়েছি।রেজাল্ট ইমপ্রুভ হয়েছে। আমি যদি এবছর সাস্টে এডমিশন টেস্ট দেই তাহলে আমাকে ফার্স্ট টাইমার ধরবে না সেকেন্ড টাইমার ধরবে?,ফার্স্ট টাইমার,SUST
একজন স্টুডেন্টের SSC ও HSC মিলে মোট জিপিএ 8.00। কিন্তু HSCতে একটি বিষয়ে D আছে। সে কি সাস্টে exam/পরীক্ষা দিতে পারবে?,ভিজিট http://admission.sust.edu এবং প্রস্পেকটাস চেক করুন।,SUST
সাস্ট এ A/এ & B/বি Unit/ইউনিট এ এক্সাম কি একই দিনে হয়??,হুম,SUST
A/এ unit এ কি কি বিষয়ের উপর এক্সাম হয়??,ভিজিট http://admission.sust.edu এবং প্রস্পেকটাস চেক করুন।,SUST
বিজ্ঞান ও প্রযুক্তি বিশ্ববিদ্যালয় গুলোতে কি সমন্বিত পরীক্ষা হবে?,এখনো সিদ্ধান্ত হয়নি।,All
সাস্টে সেকেন্ড  টাইমারদের কয় মার্কস কাটা হয়?,ভিজিট http://admission.sust.edu এবং প্রস্পেকটাস/সার্কুলার চেক করুন।,SUST
বিজ্ঞান বিভাগে গনিত না নিলে sust/সাস্ট এ এক্সাম দেওয়া যায়।?,ভিজিট http://admission.sust.edu এবং প্রস্পেকটাস/সার্কুলার চেক করুন।,SUST
আমি যদি সাস্টে বি-২(স্থাপত্য) এ আবেদন করি তাহলে আমার রেজাল্ট কি শুধু বি-২ এর জন্যই আসবে নাকি দুটো সাব ইউনিটেই আসবে??,দুটোতেই আসবে।,SUST
সাস্টএ মানবিক বিভাগে ১০ মার্কের গণিত থেকে যে প্রশ্নগুলো থাকে সেগুলো যদি বাদ দিয়ে উত্তর দেওয়া হয় তবে রেজাল্ট পাশ আসবে না কী ফেইল আসবে?,ভিজিট http://admission.sust.edu এবং প্রস্পেকটাস/সার্কুলার চেক করুন।,SUST
বড় ভাইদের দৃষ্টি আকর্ষণ করছি-সাস্টে মানবিক থেকে ১১৩ মেরিটে কি ইংরেজি সাবজেক্ট পাওয়া যাবে?আমার ইংলিশে ১১-১২ আছে,চোখ রাখুন https://www.admissionwar.com/ এবং সার্চ করুন সাস্ট অথবা চেক করুন  http://admission.sust.edu গিয়ে এডমিশন সেকশনে সার্চ করুন,SUST
ভাইয়া আমার পজিশন সাস্ট বি ১৬৩৫.আমি কি সাবজেক্ট পাব??,এটা আসলে বলা সম্ভব না একেক বছর একেক রকম হয়,SUST
SUST/সাস্ট এ migration/মাইগ্রেশন কি ভর্তির সময় দেওয়া subject/সাব্জেক্ট/সাবজেক্ট choice/চয়েজ এর সিরিয়াল অনুসারে হয় নাকি অন্য কোন ভাবে ?,মাইগ্রেশন মেইনলি অরিয়েন্টেশন এর পর শুরু হয়। তোমাকে তোমার ডিপ্ট থেকে ফর্ম কালেক্ট করে ফিল আপ করতে হবে। ১০ দিনের মধ্যে রেজাল্ট পেয়ে যাবা। মেইনলি তোমার মাইগ্রেশন হবে তোমার মেরিট পজিশন এবং তোমার চাওয়া ডিপ্ট এর সিট খালি থাকা সাপেক্ষে।একবার মাইগ্রেশন হয়ে গেলে তোমাকে ওই ডিপ্ট এই যেতে হবে তুমি চাইলেও আর তোমার আগের ডিপ্টে থাকতে পারবে না।,SUST
সাস্ট এর এডমিট কার্ড হারিয়ে ফেলেছি।পজিশন দূরে ছিলো বলে গুরুত্ব দেই নি।এখন ২৬ তারিখ যাওয়ার জন্য এসএমএস দিয়েছে। এডমিট কার্ড ছাড়া কি ভর্তি হওয়া যাবেনা?,কোনো সমস্যা হবার কথা না। বাকি সব কাগজপ্ত্র ঠিকমতো নিয়ে গেলেই হবে।,SUST
আমার কাছে সাস্টের এডমিটের applicants copy/অ্যাপ্লিকেন্ট কপি আছে কিন্তু invigilator/ইনভ্যালিটর এর কোন sign/সাইন দেয়া নেই! এতে কি এডমিট হতে কোন প্রব্লেম হবে?,কোনো সমস্যা হবার কথা না। বাকি সব কাগজপ্ত্র ঠিকমতো নিয়ে গেলেই হবে।,SUST
সাস্টে ভর্তির সময় কি কি নিয়ে নেবে?শুধু ট্রান্সক্রিপ্ট?,"ভর্তির জন্য প্রয়োজনীয় জিনিসপত্র-
১. ভর্তি পরীক্ষার সময়কার সিগনেচার করা এডমিট কার্ড।
২. এসএসসি বা সমমান ও এইচএসসি বা সমমান পরীক্ষার মূল মার্কশীট এবং সার্টিফিকেট।
৩. প্রয়োজনীয় টাকা।
৪. কোটায় ভর্তিচ্ছুদের কোটা সম্পর্কিত যথাযথ সনদপত্রের মূল কপি।
৫. প্রতিটি সনদপত্র ও নম্বরপত্রের ২টি সত্যায়িত ফটোকপি।",SUST
সাস্টের ওয়েবসাইট এ বলা আছে এসএসসি ও এইচএসসি এর সার্টিফিকেট আনতে।কিন্তু কলেজে এ তো এখনো সার্টিফিকেট আসেনি ।এখন কি করতে হবে???,"ভর্তির জন্য প্রয়োজনীয় জিনিসপত্র-
১. ভর্তি পরীক্ষার সময়কার সিগনেচার করা এডমিট কার্ড।
২. এসএসসি বা সমমান ও এইচএসসি বা সমমান পরীক্ষার মূল মার্কশীট এবং সার্টিফিকেট।
৩. প্রয়োজনীয় টাকা।
৪. কোটায় ভর্তিচ্ছুদের কোটা সম্পর্কিত যথাযথ সনদপত্রের মূল কপি।
৫. প্রতিটি সনদপত্র ও নম্বরপত্রের ২টি সত্যায়িত ফটোকপি।",SUST
সাস্টে ভর্তির সময় সাথে করে কি কি নিয়ে যেতে হবে?,"ভর্তির জন্য প্রয়োজনীয় জিনিসপত্র-
১. ভর্তি পরীক্ষার সময়কার সিগনেচার করা এডমিট কার্ড।
২. এসএসসি বা সমমান ও এইচএসসি বা সমমান পরীক্ষার মূল মার্কশীট এবং সার্টিফিকেট।
৩. প্রয়োজনীয় টাকা।
৪. কোটায় ভর্তিচ্ছুদের কোটা সম্পর্কিত যথাযথ সনদপত্রের মূল কপি।
৫. প্রতিটি সনদপত্র ও নম্বরপত্রের ২টি সত্যায়িত ফটোকপি।",SUST
সাস্টে মোট কয় কপি ছবি লাগবে ভর্তি হতে?,২ কপি,SUST
সাস্টে ভর্তি হতে কি এস এস সি প্রশংসা পত্র লাগবে?,লাগবে না,SUST
"ডিউ ডি তে পজিশন ৬১৯,,,,সাস্টে সিভিলে ভর্তি হইছে।এইটা কতটুকু ভালো সিদ্ধান্ত?",তোমার প্যাশন যেটাতে ওইটাতে ভর্তি হয়। প্রয়োজনে কারো হেল্প নাও।,SUST
pharmacy/ফার্মাসি   or/বা CSE/সিএসই কোনটা পড়া better/ভাল/ভালো হবে???,তোমার প্যাশন যেটাতে ওইটাতে ভর্তি হয়। প্রয়োজনে কারো হেল্প নাও।,All
সাস্টের Math আর Statistics এর মাঝে কোনটা ভাল??,তোমার প্যাশন যেটাতে ওইটাতে ভর্তি হয়। প্রয়োজনে কারো হেল্প নাও।,SUST
সাস্টে ভর্তি ক্যান্সেল করলে কি টাকা লাগবে? মার্কশিট কি তখনই পেয়ে যাব?,হুম তখনি পেয়ে যাবে সাস্টের রেজিস্টার অফিসে এ ব্যাপারে যোগাযোগ করো,SUST
SUST/সাস্ট এ ভর্তি cancel/বাতিল/ক্যান্সেল করলে সব document/ডকুমেন্ট/কাগজপ্ত্র কি ফেরত দিবে ?মানে cancel করা যায় কিনা ?,হুম যায় সব কাগজপত্র দিয়ে দিবে,SUST
সিলেটে রেলওয়ে স্টেশন থেকে সাস্টে কিভাবে যাওয়া যায়? সাস্টে যাওয়ার ভাড়া কত?,"স্টেশন>আম্বরখানা(২০/- সিএঞ্জি লোকাল ভাড়া)>সাস্ট গেইট(১৫ টাকা সিএঞ্জি লোকাল ভাড়া)। ডিরেক্ট সিএঞ্জি পাইতে পারো। ডিরেক্ট সিএঞ্জি ভাড়া(৩৫-৪০/- টাকা লোকাল)। এছাড়াও, স্টেশন>বন্দর(১০/- লোকাল সিএঞ্জি ভাড়া)> সাস্ট গেইট (১৫ /- লোকাল সিএঞ্জি ভাড়া। সিলেটে পাঠাও + ওভাই এভাইলেবল|",SUST
সিলেটে কি উবার বা পাঠাও এভেইলএবল?,"স্টেশন>আম্বরখানা(২০/- সিএঞ্জি লোকাল ভাড়া)>সাস্ট গেইট(১৫ টাকা সিএঞ্জি লোকাল ভাড়া)। ডিরেক্ট সিএঞ্জি পাইতে পারো। ডিরেক্ট সিএঞ্জি ভাড়া(৩৫-৪০/- টাকা লোকাল)। এছাড়াও, স্টেশন>বন্দর(১০/- লোকাল সিএঞ্জি ভাড়া)> সাস্ট গেইট (১৫ /- লোকাল সিএঞ্জি ভাড়া। সিলেটে পাঠাও + ওভাই এভাইলেবল|",SUST
সাস্টে FFQ/ফ্রিডম ফাইটার কোটা তে কি এবার নাতি-নাতনি নেয়া হয়েছে ?,না শুধু ছেলে/মেয়ে ভর্তি হতে পারবে।,SUST
"সাস্টের এ ইউনিট এর ওয়েটিং কল এর ব্যাপারে ডিটেইলস জানতে চাই,কেও প্লিজ হেল্প করুন",চোখ রাখুন https://www.admissionwar.com/ এবং সার্চ করুন সাস্ট অথবা চেক করুন  http://admission.sust.edu গিয়ে এডমিশন সেকশনে সার্চ করুন,SUST
সাস্টে এইচএসসির মেইন ট্রান্সক্রিপ্ট ছাড়া কি ভর্তি হওয়া যাবে।,সাস্টে ট্রান্সক্রিপ্ট এর মেইন কপি ছাড়া ভর্তি হওয়া যাবে না।,SUST
আমি অমুক জায়গায় ভর্তি আছি। সাস্টে মেইন কপি ট্রান্সক্রিপ্ট ছাড়া ভর্তি হয়ে পরে দুএকদিনের মধ্যে মেইন কপি জমা দিতে পারলে ভর্তি হওয়া যাবে না?,সাস্টে ট্রান্সক্রিপ্ট এর মেইন কপি ছাড়া ভর্তি হওয়া যাবে না।,SUST
সাস্টের সেকেন্ড মেজর সম্পর্কে জানতে চাই।,"সেকেন্ড মেজর হিসেবে চাইলে আপনি ফিজিক্স,ট্রিপলী এবং সিএসই নিতে পারবেন আপনার প্রধান মেজরের পাশাপাশি।তবে তার জন্যে আপনাকে একটি এক্সাম দিতে হবে। সেটি আপনার ভর্তির একবছর পরে শুরু হবে।",SUST
সাস্টে ক্লাস শুরু হবে কখন?,অরিয়েন্টেশন এর পর। মোবাইলে মেসেজ দিয়ে অরিয়েন্টেশনের টাইম জানিয়ে দেয়া হবে অথবা চোখ রাখুন http://admission.sust.edu,SUST
কোন কোন ভার্সিটিতে/বিশ্ববিদ্যালয়ে সেকেন্ড টাইমে দেওয়া যাবে?,"যেসব পাবলিক বিশ্ববিদ্যালয়ে ২য় বার ভর্তি পরীক্ষা দেয়া যাবে:১. জাহাঙ্গীরনগর বিশ্ববিদ্যালয়।(JU),২. শাহজালাল বিজ্ঞান ও প্রযুক্তি বিশ্ববিদ্যালয় (SUST),৩. কুমিল্লা বিশ্ববিদ্যালয়।(COU),৪. খুলনা বিশ্ববিদ্যালয়।(KU),৫. বাংলাদেশ ইউনিভার্সিটি অবপ্রোফেশনালস্। (BUP),৬. ইসলামি বিশ্ববিদ্যালয়।(IU), ৭. বরিশাল বিশ্ববিদ্যালয়, ৯. পটুয়াখালী বিজ্ঞান ও প্রযুক্তি বিশ্ববিদ্যালয়।(PSTU), ১০. বাংলাদেশ কৃষি বিশ্ববিদ্যালয়। (BAU),১১. বেগম রোকেয়া বিশ্ববিদ্যালয়,রংপুর। (BRUR),১২. জাতীয় কবি কাজী নজরুল ইসলাম বিশ্ববিদ্যালয়।(JKKNIU),১৩. ইসলামিক ইউনিভার্সিটি অফসায়েন্সটেকনোলজী (IUT), ১৪. বঙ্গবন্ধু শেখ মুজিবুর রহমানবিজ্ঞান ওপ্রযুক্তি বিশ্ববিদ্যালয়।(BSMRSTU),১৫. মাওলানা ভাসানী বিজ্ঞান ওপ্রযুক্তি বিশ্ববিদ্যালয়(MBSTU),১৬. নোয়াখালী বিজ্ঞান ও প্রযুক্তি বিশ্ববিদ্যালয় (NSTU),১৭. পাবনা বিজ্ঞান ও প্রযুক্তি বিশ্ববিদ্যালয়,১৮. হাজী মোহাম্মাদ দানেশবিজ্ঞান ও প্রযুক্তি বিশ্ববিদ্যালয়।(HSTU),১৯. যশোর বিজ্ঞান ও প্রযুক্তি বিশ্ববিদ্যালয়। (JUST) ২০.Bangabandhu Sheikh Mujibur Rahman Maritime
University ,২১. বঙ্গবন্ধু শেখ মুজিবুর রহমানকৃষি বিশ্ববিদ্যালয়,২২. শেরে বাংলা কৃষি বিশ্ববিদ্যালয়,২৩. সরকারি মেডিকেল কলেজ,২৪. আর্মি মেডিকেল কলেজ।",All
সাস্টের স্পেশাল কোনো বই থাকলে বলবেন?,আসলে মেইন বই ই আসল। মেইন বই এর সবগুলো টপিকের বেসিক ক্লিয়ার করুন তাইলেই এনাফ। আর বিগত বছরের প্রশ্ন সল্ভ করুন।,SUST
সাস্টে ম্যাথ করার জন্যে কি এক্সট্রা পেপার দিবে?,হুম একটা এক্সট্রা পেপার এক্সাম হলে প্রভাইড করা হয়।,SUST
