question,answer,university
sust e Waiting position 1808.Migration er por ki engineering sub aste pare?????,মাইগ্রেশন মেইনলি অরিয়েন্টেশন এর পর শুরু হয়। তোমাকে তোমার ডিপ্ট থেকে ফর্ম কালেক্ট করে ফিল আপ করতে হবে। ১০ দিনের মধ্যে রেজাল্ট পেয়ে যাবা। মেইনলি তোমার মাইগ্রেশন হবে তোমার মেরিট পজিশন এবং তোমার চাওয়া ডিপ্ট এর সিট খালি থাকা সাপেক্ষে।একবার মাইগ্রেশন হয়ে গেলে তোমাকে ওই ডিপ্ট এই যেতে হবে তুমি চাইলেও আর তোমার আগের ডিপ্টে থাকতে পারবে না।,SUST
Sust er migration shmprke kchuu jnina,মাইগ্রেশন মেইনলি অরিয়েন্টেশন এর পর শুরু হয়। তোমাকে তোমার ডিপ্ট থেকে ফর্ম কালেক্ট করে ফিল আপ করতে হবে। ১০ দিনের মধ্যে রেজাল্ট পেয়ে যাবা। মেইনলি তোমার মাইগ্রেশন হবে তোমার মেরিট পজিশন এবং তোমার চাওয়া ডিপ্ট এর সিট খালি থাকা সাপেক্ষে।একবার মাইগ্রেশন হয়ে গেলে তোমাকে ওই ডিপ্ট এই যেতে হবে তুমি চাইলেও আর তোমার আগের ডিপ্টে থাকতে পারবে না।,SUST
Sust er migration somporke keu bolte parben?,মাইগ্রেশন মেইনলি অরিয়েন্টেশন এর পর শুরু হয়। তোমাকে তোমার ডিপ্ট থেকে ফর্ম কালেক্ট করে ফিল আপ করতে হবে। ১০ দিনের মধ্যে রেজাল্ট পেয়ে যাবা। মেইনলি তোমার মাইগ্রেশন হবে তোমার মেরিট পজিশন এবং তোমার চাওয়া ডিপ্ট এর সিট খালি থাকা সাপেক্ষে।একবার মাইগ্রেশন হয়ে গেলে তোমাকে ওই ডিপ্ট এই যেতে হবে তুমি চাইলেও আর তোমার আগের ডিপ্টে থাকতে পারবে না।,SUST
Sust e migration kisher bhitti te hoy?,মাইগ্রেশন মেইনলি অরিয়েন্টেশন এর পর শুরু হয়। তোমাকে তোমার ডিপ্ট থেকে ফর্ম কালেক্ট করে ফিল আপ করতে হবে। ১০ দিনের মধ্যে রেজাল্ট পেয়ে যাবা। মেইনলি তোমার মাইগ্রেশন হবে তোমার মেরিট পজিশন এবং তোমার চাওয়া ডিপ্ট এর সিট খালি থাকা সাপেক্ষে।একবার মাইগ্রেশন হয়ে গেলে তোমাকে ওই ডিপ্ট এই যেতে হবে তুমি চাইলেও আর তোমার আগের ডিপ্টে থাকতে পারবে না।,SUST
Sust er admission e koy copy chobi lagbe??,২ কপি,SUST
sust a vorti hote Ki Guardian ar sign ba photo lage?,"ভর্তির জন্য প্রয়োজনীয় জিনিসপত্র-১. ভর্তি পরীক্ষার সময়কার সিগনেচার করা এডমিট কার্ড। ২. এসএসসি বা সমমান ও এইচএসসি বা সমমান পরীক্ষার মূল মার্কশীট এবং সার্টিফিকেট। ৩. প্রয়োজনীয় টাকা। ৪. কোটায় ভর্তিচ্ছুদের কোটা সম্পর্কিত যথাযথ সনদপত্রের মূল কপি। ৫. প্রতিটি সনদপত্র ও নম্বরপত্রের ২টি সত্যায়িত ফটোকপি।",SUST
SUST e Vorti hoite ki j photo admit a cilo oitai lage ?????,"ভর্তির জন্য প্রয়োজনীয় জিনিসপত্র- ১. ভর্তি পরীক্ষার সময়কার সিগনেচার করা এডমিট কার্ড।২. এসএসসি বা সমমান ও এইচএসসি বা সমমান পরীক্ষার মূল মার্কশীট এবং সার্টিফিকেট। ৩. প্রয়োজনীয় টাকা। ৪. কোটায় ভর্তিচ্ছুদের কোটা সম্পর্কিত যথাযথ সনদপত্রের মূল কপি।৫. প্রতিটি সনদপত্র ও নম্বরপত্রের ২টি সত্যায়িত ফটোকপি।",SUST
SUST e vorti hote ki ki kagoj potro lagbe?,"ভর্তির জন্য প্রয়োজনীয় জিনিসপত্র- ১. ভর্তি পরীক্ষার সময়কার সিগনেচার করা এডমিট কার্ড।২. এসএসসি বা সমমান ও এইচএসসি বা সমমান পরীক্ষার মূল মার্কশীট এবং সার্টিফিকেট। ৩. প্রয়োজনীয় টাকা। ৪. কোটায় ভর্তিচ্ছুদের কোটা সম্পর্কিত যথাযথ সনদপত্রের মূল কপি। ৫. প্রতিটি সনদপত্র ও নম্বরপত্রের ২টি সত্যায়িত ফটোকপি।",SUST
Sust e fet or bsmrstu te eee konta valo hobe??,তোমার প্যাশন যেটাতে ওইটাতে ভর্তি হয়। প্রয়োজনে কারো হেল্প নাও।,SUST
SUST e ME CEP CEE eder mddhe konta newa bttr hbe vaia?,তোমার প্যাশন যেটাতে ওইটাতে ভর্তি হয়। প্রয়োজনে কারো হেল্প নাও।,SUST
SUST e Admit Card e Genji Pora Obostay Photo Ache.Keu Keu Bolce Problem Hbe.,কোনো প্রবলেম হবে না।,SUST
Sust er kon kon department IEB approved ?,Check this http://www.iebbd.org/page/default.aspx?contentid=117&fbclid=IwAR3ObgJyJb5tCQ1r8q5BeiMKMHIg3pze24DkSHNFbnZ2KFzHGimuBcrzoiI ,SUST
SUST er office er contqct number ta dorkar.kindly dile valo hoto.,ভিজিট http://admission.sust.edu/,SUST
vaia SUST e vorti batil kivabe korbo ?? r koto din lagte pare ? naki ghurabe koykdin ?,ওইদিন ই দিয়ে দিবে তবে কয়েক ঘন্টা লাগতে পারে এবং কিছু টাকা লাগে ৫০০ এর মত,SUST
SUST b1 Waiting 1476 kobe dakbe/call korbe?? and ki subject pete pari??,ভিজিট http://admission.sust.edu/noticeboard,SUST
Sylhet Railway station theke Sust kivabe gele better hoy?,"স্টেশন>আম্বরখানা(২০/- সিএঞ্জি লোকাল ভাড়া)>সাস্ট গেইট(১৫ টাকা সিএঞ্জি লোকাল ভাড়া)। ডিরেক্ট সিএঞ্জি পাইতে পারো। ডিরেক্ট সিএঞ্জি ভাড়া(৩৫-৪০/- টাকা লোকাল)। এছাড়াও, স্টেশন>বন্দর(১০/- লোকাল সিএঞ্জি ভাড়া)> সাস্ট গেইট (১৫ /- লোকাল সিএঞ্জি ভাড়া। সিলেটে পাঠাও + ওভাই এভাইলেবল|",SUST
Sylhet e ki uber/pathao available? ,"স্টেশন>আম্বরখানা(২০/- সিএঞ্জি লোকাল ভাড়া)>সাস্ট গেইট(১৫ টাকা সিএঞ্জি লোকাল ভাড়া)। ডিরেক্ট সিএঞ্জি পাইতে পারো। ডিরেক্ট সিএঞ্জি ভাড়া(৩৫-৪০/- টাকা লোকাল)। এছাড়াও, স্টেশন>বন্দর(১০/- লোকাল সিএঞ্জি ভাড়া)> সাস্ট গেইট (১৫ /- লোকাল সিএঞ্জি ভাড়া। সিলেটে পাঠাও + ওভাই এভাইলেবল|",SUST
Sec e vorti cancel na kore sust e o ki admit houya jabe??,সাস্টে ট্রান্সক্রিপ্ট এর মেইন কপি ছাড়া ভর্তি হওয়া যাবে না।,SUST
sust e ki jekono subject double major hishaba naoa jai,"ডাবল মেজর হিসেবে নেওয়া যায় না তবে সেকেন্ড মেজর হিসেবে চাইলে আপনি ফিজিক্স,ট্রিপলী এবং সিএসই নিতে পারবেন আপনার প্রধান মেজরের পাশাপাশি।",SUST
SUST e Class kbe start hote pare???,বেশীরভাগ ডিপার্টমেন্টেই জানুয়ারির শেষের দিকে বা ফেব্রুয়ারির শুরুর দিকেই ক্লাস শুরু করে।,SUST
Sust GPA r jonno kotu marks???, চোখ রাখুন https://www.admissionwar.com/ এবং সার্চ করুন সাস্ট অথবা চেক করুন  http://admission.sust.edu গিয়ে এডমিশন সেকশনে সার্চ করুন,SUST
kun kun varsity te second time ache?,"যেসব পাবলিক বিশ্ববিদ্যালয়ে ২য় বার ভর্তি পরীক্ষা দেয়া যাবে:১. জাহাঙ্গীরনগর বিশ্ববিদ্যালয়।(JU),২. শাহজালাল বিজ্ঞান ও প্রযুক্তি বিশ্ববিদ্যালয় (SUST),৩. কুমিল্লা বিশ্ববিদ্যালয়।(COU),৪. খুলনা বিশ্ববিদ্যালয়।(KU),৫. বাংলাদেশ ইউনিভার্সিটি অবপ্রোফেশনালস্। (BUP),৬. ইসলামি বিশ্ববিদ্যালয়।(IU), ৭. বরিশাল বিশ্ববিদ্যালয়, ৯. পটুয়াখালী বিজ্ঞান ও প্রযুক্তি বিশ্ববিদ্যালয়।(PSTU), ১০. বাংলাদেশ কৃষি বিশ্ববিদ্যালয়। (BAU),১১. বেগম রোকেয়া বিশ্ববিদ্যালয়,রংপুর। (BRUR),১২. জাতীয় কবি কাজী নজরুল ইসলাম বিশ্ববিদ্যালয়।(JKKNIU),১৩. ইসলামিক ইউনিভার্সিটি অফসায়েন্সটেকনোলজী (IUT), ১৪. বঙ্গবন্ধু শেখ মুজিবুর রহমানবিজ্ঞান ওপ্রযুক্তি বিশ্ববিদ্যালয়।(BSMRSTU),১৫. মাওলানা ভাসানী বিজ্ঞান ওপ্রযুক্তি বিশ্ববিদ্যালয়(MBSTU),১৬. নোয়াখালী বিজ্ঞান ও প্রযুক্তি বিশ্ববিদ্যালয় (NSTU),১৭. পাবনা বিজ্ঞান ও প্রযুক্তি বিশ্ববিদ্যালয়,১৮. হাজী মোহাম্মাদ দানেশবিজ্ঞান ও প্রযুক্তি বিশ্ববিদ্যালয়।(HSTU),১৯. যশোর বিজ্ঞান ও প্রযুক্তি বিশ্ববিদ্যালয়। (JUST) ২০.Bangabandhu Sheikh Mujibur Rahman Maritime University ,২১. বঙ্গবন্ুশেখ মুজিবুর রহমান কৃষি বিশ্ববিদ্যালয়,২২. শেরে বাংলা কৃষি বিশ্ববিদ্যালয়,২৩. সরকারি মেডিকেল কলেজ,২৪. আর্মি মেডিকেল কলেজ।",All
sust e first year e hall e sit paoa jabe?,হুম যাবে।,SUST
Sust e re-admission er process ta bolben,তুমি যেই ডিপার্টমেন্টে ভর্তি হয়েছো সেই ডিপার্টমেন্টের সবগুলো সিট পূরণ হয়ে যাওয়ার দুই সপ্তাহের মধ্যে রেজিস্টার বরাবর একটা অ্যাপ্লিকেশন লিখতে হবে। এরপর তুমি যেই স্যারের ক্লাসে এটলিস্ট ২৫% উপস্থিত থেকেছো সেই স্যারের কাছ থেকে রেকোমেন্ডেশন নিতে হবে। সাথে ডিপার্টমেন্ট হেডেরও ফরওয়ার্ডেড সিগনেচার নিতে হবে। এরপর অ্যাপ্লিকেশনটা রেজিস্টার অফিসে সাবমিট করতে হবে। রেজিস্টার অফিস একটা ডেট দিবে। সেই ডেটের মধ্যেই ভর্তির টাকা জমা দিতে হবে। ব্যাস! কাজ শেষ।,SUST
SUST e vortir din e ki viva? viva er jonne alada ki preparation nite hobe?,"ভর্তি এবং ভাইভা একই দিনে হবে। ভাইভার জন্য আলাদা কোন প্রিপারেশন নেওয়া লাগবে না। ভাইভাতে তেমন কিছু জিজ্ঞেস করা হয় না। এইতো নাম, ঠিকানা, কী সাবজেক্ট নিবা এইসব তথ্যই জিজ্ঞেস করা হয়।",SUST
sust e vivar jonne ki ki dress pore aste hobe?,ভাইভার জন্য আলাদা কোন ড্রেস কোডও মানা লাগবে না। কোন ধরণের ফরমাল ড্রেস পরে আসতে হবে না।,SUST
Sust er dept gulote average cgpa kmn thake?,এইটা একেক ইয়ার একেক ডিপ্ট এ একেক রকম হয়। তবে এভারেজ ৩.৩+ থাকে।,SUST
Sust er seat plan kivabe dekhbo?, মোবাইলে ম্যাসেজ যাবে অথবা ওয়েবসাইটে চেক করতে পারো। ভিজিট http://admission.sust.edu,SUST
sust e sob subject e ki alada alada pass korte hoy?,সাস্টে আলাদা পাশ মার্ক নাই। সবমিলিয়ে ১০০ তে ৪০% মার্কস ক্যারি করতে পারলেই মেরিট লিস্টে নাম তুলতে পারবা। মেরিট লিস্টে নাম উঠলেই যে চান্স হয়ে যাবে এরকম কোন কথা নাই।,SUST
sust e koyta dagaile mutamuti chance sure/nischit?,ভুলভাল না দাগিয়ে ঠিকঠাক মত ৪৫-৫০ টা দাগাতেই পারলেই মোটামোটি চান্স নিশ্চিত হয়ে যায়। তবে প্রশ্ন অতিরিক্ত সহজ হয়ে গেলে এই থিওরী কোন কাজে আসবে না। সাস্টের প্রশ্ন অবশ্য মোটামোটি কঠিনই হয় প্রত্যেকবছর।,SUST 
Sust e alada alada dept e vorti/admit nite chaile ki alada alada requirement lage?,অর্থনীতি বিভাগে ভর্তি হতে চাইলে A ইউনিটের পরীক্ষায় গণিতে নূন্যতম ৪ মার্কস পাওয়া লাগবে। আর ইংরেজি বিভাগে ভর্তি হতে চাইলে পরীক্ষায় ইংরেজীতে কমপক্ষে ৮ মার্কস পাওয়া লাগবে। এছাড়া A বা B ইউনিটে আর তেমন কোন উল্লেখযোগ্য শর্ত নাই। মেরিট পজিশন ভালো হলে ইচ্ছেমত সাবজেক্ট চয়েস করা যাবে।,SUST
Sust e economics dept/department e vorti/admit hote chaile math o minimum/nunnotomo koto pete hobe?,অর্থনীতি বিভাগে ভর্তি হতে চাইলে A ইউনিটের পরীক্ষায় গণিতে নূন্যতম ৪ মার্কস পাওয়া লাগবে। আর ইংরেজি বিভাগে ভর্তি হতে চাইলে পরীক্ষায় ইংরেজীতে কমপক্ষে ৮ মার্কস পাওয়া লাগবে। এছাড়া A বা B ইউনিটে আর তেমন কোন উল্লেখযোগ্য শর্ত নাই। মেরিট পজিশন ভালো হলে ইচ্ছেমত সাবজেক্ট চয়েস করা যাবে।,SUST
Dhaka theke sylhet train e kotokkhn lage?,মেক্সিমাম ৭/৮ ঘন্টা লাগবে।,SUST
Sust A unit e physics chemistry biology/Math e ki alada alada pass korte hobe?,A ইউনিটে ম্যাথ/বায়োলজির মধ্যে বিজ্ঞান বিভাগের ছাত্রছাত্রীরা তাদের ইচ্ছামত প্রশ্নের উত্তর করতে পারবে। ম্যাথ আন্সার না করলে মোটেই প্রবলেম হবে না।,SUST
Ami goto bochor HSC diyechilam.Ei bochor abar improvement dile ki SUST e amake first timer hisebe dhorbe naki second timer?,সেকেন্ড টাইমার,SUST
Sust e A and B unit e ki eki din e xm hoy?,হুম।,SUST
Sust er admit card haraiya felsi .kuno problem hobe?,কোনো সমস্যা হবার কথা না। বাকি সব কাগজপ্ত্র ঠিকমতো নিয়ে গেলেই হবে।,SUST
Sust e HSC main copy transcript chara ki vorti hoa jabe?,সাস্টে ট্রান্সক্রিপ্ট এর মেইন কপি ছাড়া ভর্তি হওয়া যাবে না।,SUST
Sust e second major somorke jante chai,"সেকেন্ড মেজর হিসেবে চাইলে আপনি ফিজিক্স,ট্রিপলী এবং সিএসই নিতে পারবেন আপনার প্রধান মেজরের পাশাপাশি।তবে তার জন্যে আপনাকে একটি এক্সাম দিতে হবে। সেটি আপনার ভর্তির একবছর পরে শুরু হবে।",SUST
SUST e Exam hall e ki ki nea jabe?,"পরীক্ষা কেন্দ্রে অবশ্যই দুই কপি এডমিট কার্ড সঙ্গে করে নিয়ে আসতে হবে। রঙিন এডমিট কার্ড হলে ভালো। তবে সাদা-কালো হলেও কোন সমস্যা হবে না। এডমিট কার্ড ছাড়াও ক্যালকুলেটর আর বলপয়েন্ট কলম আনতে ভুল করো না।আর্কিটেকচারে যারা পরীক্ষা দিবা, তারা অবশ্যই ড্রয়িং রিলেটেড জিনিসপত্র সাথে নিয়ে আসবা।",SUST
SUST e Exam hall ki ghori/clock er bebostha thakbe?,সবগুলো পরীক্ষা কেন্দ্রে ঘড়ির ব্যবস্থা থাকে না। সাধারণ মানের কেসিও ঘড়ি সঙ্গে করে আনতে পারো। যারা এখনো এডমিট কার্ডে সাইন করো নি। তারা ঝটপট এডমিট কার্ডে সাইন করে ফেলো। ,SUST
sust e total koyta hall ache?,৫ টা,SUST
sust e cheleder hall koyta?,৩ টা,SUST
sust e meyeder hall koyta?,২ টা(ক্যাম্পাসের ভিতরে) এছাড়া মেয়েদের জন্যে ক্যাম্পাসের বাহিরে ৪-৫ টির মতো হল আছে যেগুলা আসলে ভার্সিটির আন্ডারে পরিচালিত হয়।,SUST
sust e hall e thaka khaoar obostha kmn?,হলে থাকা খাওয়ার দাম অনেক কম। কিন্তু তেমন উন্নতমানের নয়।,SUST
sust e meyera sobai ki hall sit pay shurute?,যারা সিলেটের বাইরে থেকে আসে তারা মোটামুটি সিট পায় কারন মেয়েদের ২ টা(ক্যাম্পাসের ভিতরে) হল এছাড়া মেয়েদের জন্যে ক্যাম্পাসের বাহিরে ৪-৫ টির মতো হল আছে যেগুলা আসলে ভার্সিটির আন্ডারে পরিচালিত হয়।,SUST
sust e kheladhular jonne ki ki bebostha ache?,"খেলাধুলার জন্যে ৩ টি মাঠ, একটি জিমনেশিয়াম রয়েছে ।",SUST
sust er auditorium er dharon khomota kemon?,প্রায় ১৫০০ এর মত,SUST
sust e khelar ki ki math/field ase?,"একটি হ্যান্ডবল গ্রাউন্ড, একটি বাস্কেটবল গ্রাউন্ড এবং একটি সেন্ট্রাল ফিল্ড রয়েছে সাস্টে।",SUST
sust e ki concert hoy?,"হুম সাস্টে প্রতিবছর ই বেশ কয়েকটা ,দেশের নামিদামি ব্যান্ডের কন্সার্ট/কনসার্ট হয়।",SUST
sust e pahela baishakh e ki ki hoy?,পহেলা বৈশাখে বিভিন্ন অনুষ্টান এর পাশাপাশি বিভিন্ন ডিপ্ট এর স্টল বসে। সকালে বর্ণাঢ্য র‍্যালি হয়। মেলাও বসে।,SUST
sust er IICT building e kun kun department ache?,"ইইই,সিএসই,সফটওয়্যার ইঞ্জিনিয়ারিং",SUST
sust e total koyta academic building ache?,"৬ টা(আই আই সিটি,এ,বি,সি,ডি,ই বিল্ডিং)",SUST
sust e ki ki quota ache?,ভিজিট http://admission.sust.edu এবং প্রস্পেকটাস চেক করুন।,SUST
sust e ki ffq te grand son/grand daughter allow kore?,না শুধু ছেলে/মেয়ে,SUST
sust e ki du er moto TSC type kuno jaiga ache?,হুম। তবে সেটা টিএসসির মতো এত বড় নয়। এটার না হল ইউসি(ইউনিভার্সিটি সেন্টার),SUST
sust e koyta club ase?,৩০+ হবে।,SUST
sust e co-curricular activities kemon?,"৩০+ এর মতো ক্লাব আছে। এখানে ফোটোগ্রাফি থেকে শুরু করে একেবার ক্যারিয়ার,গান,বাজনা,সাইন্স,আইটি,ভলেন্টিয়ারিং সব টাইপের ক্লাব আছে।",SUST
sust e koyta nijossho band ase?,২টা,SUST
sust e ki kuno english speaking club ase?,হুম আছে ।,SUST
sylhet e tutiony te kemon beton/payment dey?,বাংলা মিডিয়াম পড়ালে ৩০০০+ থেকে শুরু করে ৫০০০ পর্যন্ত পাওয়া যায়। আর ইংরেজি মিডিয়াম পড়ালে ৮-১০ হাজার ও পাওয়া যায়। তবে ক্ষেত্রবিশেষে বাড়তেও পারে।,SUST
sust e hall e thaka better naki mess e?,হলে থাকতে গেলে কিছুটা পলিটিক্সের সাথে জড়াতে হয় তবে মেসে থাকলে এইসব ঝামেলা পোহাতে হয় না।কিন্তু খরচ কিছুটা বেশি হয় হলের তুলনায়।,SUST
sylhet e ki mess available paoa jay?,হুম সাস্টের বেশিরভাগ স্টুডেন্ট ই মেস এ থাকে।,SUST
sust er transport er obostha kemon? sob somoy bus thake?,"সকালে ৭ টা থেকে ১০ টা,দুপুর ১২টা,১টা,বিকাল ৪টা,৫টা,রাত ৮টায় বাস ক্যাম্পাস থেকে ছাড়ে। তবে ছাত্রছাত্রীর তুলনায় বাসের সংখ্যার কিছুটা ঘাটতি রয়েছে।",SUST
sust e ki ki khela hoy?,"সাস্টে প্রতিবছর ক্রিকেট, ফুটবল, বাস্কেটবল,হ্যান্ডবল টুর্নামেন্ট(ছেলে+মেয়ে) এবং বার্ষিক ক্রীড়া প্রতিযোগিতা হয়।এছাড়া ডিপ্ট ভিত্তিক খেলাধুলা থেকে শুরু করে ইনডোর গেমস সবকিছুই হয়।",SUST
sust e ki kuno undergrade olympiad hoy?,"সাস্টে ম্যাথ,ফিজিক্স,কেমিস্টি ছাড়াও আরো কিছু কিছু ডিপার্টমেন্টে আন্ডারগ্র্যাড অলিম্পিয়াড হয়।",SUST
DU te ami subject choice dei ni.ekhn ki amar viva niba?,না নিবে না,DU
"akhon je sub guler seat khali ache,oi guler aktaw to amar choise list e nai,akon ami ki DU te vorti hota parbona?",না পারবে না ,DU
DU d unit e ki vorti ses???,সবসময় ঢাবির ওয়েবসাইটে চোখ রাখবে ভিজিট http://admission.eis.du.ac.bd/,DU
DU er BBA er regular class kobe theke suru hobe keu bolte parben?,মোবাইলে মেসেজ যাবে,DU
Journalist hoite hole ki Subject niye porte hobe ?,journalism & mass communication,DU
career option hisebe kun subject ta better hobe??,যেকোনো সাব্জেক্ট ই মোটামুটি ভালো।একেকটার ডিমান্ড একেক রকম,DU
du d unit er second merit list dibe ?,দিতে পারে । সবসময় ঢাবির ওয়েবসাইটে চোখ রাখবে ভিজিট http://admission.eis.du.ac.bd/,DU
Du te vorti hoite ki ki lagbe?,একেক ডিপ্টে ভর্তি হতে একেক কাগজপত্র লাগবে বিস্তারিত এর জন্যে বড় ভাইয়ের হেল্প নাও কিনবা ভিজিট http://admission.eis.du.ac.bd/,DU
Couching na kore ki DU te D unite chance paoa somvov?,হুম অবশ্যই সম্ভব,DU
DU er chemistry Department er biggopti dite parben,ভিজিট http://admission.eis.du.ac.bd/,DU
DU Lather engineering a vorti hote koto taka lagbe?,ভিজিট http://admission.eis.du.ac.bd/,DU
DU PHYSICS department er vorti notice ki dice?,ভিজিট http://admission.eis.du.ac.bd/,DU
DU te admission er jnnno SSC r HSC mile total kto point lge?,ভিজিট http://admission.eis.du.ac.bd/,DU
Science Unit theke DU D unit e exam dite ki kora lagbe?, ভিজিট http://admission.eis.du.ac.bd/,DU
Du Te nuclear engineering sub Pete hole Koto marks tulte Hobe?,একেক বছর একেক রকম তোলা লাগে,DU
Diploma te o ki 4 peye pass korte hobe KUET e exam dite hole?,ডিপ্লমা এবং এইচএসসির জন্য সমভাবে প্রযোজ্য ,KUET
KUET e koyjon k exam dite dibe?,চেক করুন https://www.admissionwar.com/ এবং সার্চ করুন কুয়েট অথবা চেক করুন http://kuet.ac.bd/ গিয়ে এডমিশন সেকশনে সার্চ করুন , KUET
eibar theke ki KUET e written chalu hobe?,চেক করুন https://www.admissionwar.com/ এবং সার্চ করুন কুয়েট অথবা চেক করুন http://kuet.ac.bd/ গিয়ে এডমিশন সেকশনে সার্চ করুন ,KUET
KUET e apply korte koto tk lagbe?,চেক করুন https://www.admissionwar.com/ এবং সার্চ করুন কুয়েট অথবা চেক করুন http://kuet.ac.bd/ গিয়ে এডমিশন সেকশনে সার্চ করুন,KUET
varityr jonne couching kore ki KUET e chance paoa jabe?, হুম অব্যশই বেসিক ক্লিয়ার থাকলে যেকোনো যায়গায় কোচিং করেও চান্স পাওয়া সম্ভব,KUET
KUET e ki hall e thaka jay?, হুম থাকা যায় ,KUET
PC chara ki apply kora jabe na KUET e?, না করটাই বেটার তবুও বিস্তারিত চেক করুন https://www.admissionwar.com/ এবং সার্চ করুন কুয়েট অথবা চেক করুন http://kuet.ac.bd/ গিয়ে এডমিশন সেকশনে সার্চ করুন,KUET
KUET e 18 paile ki sure exm dite parbo naki pore bad porar shomvabona ase???,চেক করুন https://www.admissionwar.com/ এবং সার্চ করুন কুয়েট অথবা চেক করুন http://kuet.ac.bd/ গিয়ে এডমিশন সেকশনে সার্চ করুন,KUET
vai amr SSC ta 4.19 Ami ki KUET exam dita parbo?????,চেক করুন https://www.admissionwar.com/ এবং সার্চ করুন কুয়েট অথবা চেক করুন http://kuet.ac.bd/ গিয়ে এডমিশন সেকশনে সার্চ করুন,KUET
KUET a admission test dite chaile SSC te koto point lagbe?? , চেক করুন https://www.admissionwar.com/ এবং সার্চ করুন কুয়েট অথবা চেক করুন http://kuet.ac.bd/ গিয়ে এডমিশন সেকশনে সার্চ করুন,KUET
diploma ses kore ki kuet ea admisson deoa jai ki,হুম যায়,KUET
Can i use smart phone in term of applying in KUET? ,না করটাই বেটার তবুও বিস্তারিত চেক করুন https://www.admissionwar.com/ এবং সার্চ করুন কুয়েট অথবা চেক করুন http://kuet.ac.bd/ গিয়ে এডমিশন সেকশনে সার্চ করুন,KUET
Prottek subject e ki alada alada pass korte hobe KUET e?, না  বিস্তারিত চেক করুন https://www.admissionwar.com/ এবং সার্চ করুন কুয়েট অথবা চেক করুন http://kuet.ac.bd/ গিয়ে এডমিশন সেকশনে সার্চ করুন,KUET
KOTO PELE MOTAMUTI CHANCE PAOAR POSSIBILITY ACHE KUET e??,এইটা তো আসলে বলা সম্ভব না। তবে মোটামুটি ৭০% মার্কস থাকলে আশা করা যায়,KUET
Vai 2nd time daoa jabe KUET e?,না ,KUET
calculator use kora jay KUET e??, হুম যাবে বিস্তারিত জানতে চেক করুন https://www.admissionwar.com/ এবং সার্চ করুন কুয়েট অথবা চেক করুন http://kuet.ac.bd/ গিয়ে এডমিশন সেকশনে সার্চ করুন,KUET
Any quota facility in KUET? , হুম আছে বিস্তারিত চেক করুন https://www.admissionwar.com/ এবং সার্চ করুন কুয়েট অথবা চেক করুন http://kuet.ac.bd/ গিয়ে এডমিশন সেকশনে সার্চ করুন,KUET
Mcq based or written exam in KUET?, বহুনিরবচনি হয় সাধারনত তাও বিস্তারিত চেক করুন https://www.admissionwar.com/ এবং সার্চ করুন কুয়েট অথবা চেক করুন http://kuet.ac.bd/ গিয়ে এডমিশন সেকশনে সার্চ করুন ,KUET
chance pawar jonno average koto marks pawa lage KUET e?,এইটা তো আসলে বলা সম্ভব না। তবে মোটামুটি ৭০% মার্কস থাকলে আশা করা যায় ,KUET
Kuet r jnno ki only new syllabus follow korbo? ,হুম অব্যশই নতুন সিলেবাস,KUET
